person_id,birthdate,school,country,height,weight,season_exp,position,rosterstatus,games_played_current_season_flag
1630583,2001-01-10,Loyola-Maryland,Spain,7-0,215.0,2,Forward-Center,Active,N
203128,1991-08-09,Galatasaray,Turkey,6-10,240.0,2,Forward-Center,Inactive,N
202332,1988-10-31,Kansas,USA,6-11,253.0,9,Center,Inactive,N
200746,1985-07-19,University of Texas at Austin,USA,6-11,250.0,17,Center-Forward,Inactive,N
1626146,1995-11-16,Kansas,USA,6-8,240.0,2,Forward,Inactive,N
724,1973-06-22,Virginia,USA,6-1,190.0,8,Guard,Inactive,N
201570,1986-12-26,West Virginia,USA,6-8,230.0,3,Forward,Inactive,N
1629734,1996-10-21,Tennessee,Canada,6-10,216.0,2,Forward-Center,Inactive,N
1630234,1998-07-16,Creighton,USA,6-3,195.0,2,Guard,Inactive,N
2349,1969-08-31,Iowa State,USA,6-10,265.0,5,Forward,Inactive,N
1629638,1998-09-02,Virginia Tech,Canada,6-5,205.0,4,Guard,Active,N
76024,1964-11-23,Indiana,USA,6-2,183.0,4,Guard,Inactive,N
1628959,1997-10-29,Arizona,USA,6-5,225.0,2,Guard,Inactive,N
76028,1946-07-17,Marshall,USA,6-9,205.0,1,Forward,Inactive,N
1628960,1995-10-08,Duke,USA,6-4,198.0,5,Guard,Active,N
1628386,1998-04-21,Texas,USA,6-9,243.0,6,Center,Active,N
1628443,1993-01-15,Arizona,USA,6-1,200.0,3,Guard,Inactive,N
202730,1989-02-04,Temple,USA,6-9,260.0,7,Forward-Center,Inactive,N
76027,1947-09-26,UCLA,USA,6-2,175.0,10,Guard,Inactive,N
2124,1978-06-27,Villanova,USA,6-10,255.0,11,Forward,Inactive,N
2754,1982-01-11,Oklahoma State,USA,6-4,213.0,14,Guard-Forward,Inactive,N
76029,1949-10-02,UNLV,USA,6-6,195.0,1,Forward,Inactive,N
200984,1981-02-02,Weber State,USA,6-11,250.0,2,Center,Inactive,N
76030,1958-09-12,UCLA,USA,6-8,220.0,1,Forward,Inactive,N
201165,1985-02-02,Rice,USA,6-6,225.0,4,Guard,Inactive,N
308,1972-08-20,Duquesne,USA,6-11,225.0,3,Center,Inactive,N
1747,1976-07-24,Fresno State,USA,6-2,175.0,11,Guard,Inactive,N
1824,1973-04-26,Liberty,USA,6-10,260.0,1,Center,Inactive,N
1630631,1998-04-12,Georgia Tech,USA,6-0,179.0,2,Guard,Active,N
680,1970-11-26,Penn State,United Kingdom,6-10,270.0,6,Forward-Center,Inactive,N
200811,1982-12-07,UNLV,USA,6-9,220.0,11,Forward,Inactive,N
2365,1978-07-07,Blinn J.C.,USA,6-10,245.0,15,Forward-Center,Inactive,N
2431,1980-06-23,FC Barcelona,Australia,Unknown,0.0,20,Unknown,Inactive,N
101187,1982-10-16,Michigan State,USA,6-6,220.0,9,Forward-Guard,Inactive,N
202079,1985-06-05,Memphis,USA,6-6,215.0,2,Guard,Inactive,N
76036,1951-01-01,Southern California,USA,6-2,185.0,2,Guard,Inactive,N
1507,1974-07-18,Kentucky,USA,6-5,195.0,12,Guard,Inactive,N
76037,1960-12-28,Southern California,USA,6-3,185.0,1,Guard,Inactive,N
944,1970-05-26,Indiana,USA,6-9,220.0,2,Forward,Inactive,N
246,1964-06-22,Houston,USA,6-10,250.0,10,Center-Forward,Inactive,N
202341,1989-03-25,Oklahoma State,USA,6-6,213.0,6,Guard-Forward,Inactive,N
76040,1953-10-09,West Virginia,USA,6-5,195.0,2,Guard,Inactive,N
1626147,1993-11-19,Virginia,USA,6-5,231.0,7,Forward-Guard,Inactive,N
72,1970-10-09,Georgia Tech,USA,6-1,168.0,14,Guard,Inactive,N
76041,1955-05-12,Missouri,USA,6-7,200.0,1,Forward,Inactive,N
203937,1993-09-20,UCLA,USA,6-9,230.0,9,Forward-Guard,Active,N
76042,1966-03-23,Drexel,USA,5-11,184.0,1,Guard,Inactive,N
76043,1960-09-23,Bradley,USA,6-8,195.0,3,Forward,Inactive,N
98,1968-01-20,Illinois,USA,6-6,228.0,14,Forward-Guard,Inactive,N
76045,1960-11-19,California-Santa Barbara,USA,6-10,240.0,6,Forward,Inactive,N
76046,1958-10-15,Fresno State,USA,6-7,215.0,10,Forward,Inactive,N
201583,1988-05-06,California,USA,6-9,240.0,12,Forward,Inactive,N
1000,1973-12-31,Georgia,USA,6-6,215.0,10,Guard-Forward,Inactive,N
335,1967-01-08,Georgia,USA,6-8,200.0,8,Guard-Forward,Inactive,N
101149,1986-03-12,Zalgiris,Lithuania,7-2,240.0,2,Center,Inactive,N
76049,1930-11-01,Missouri State,USA,6-7,190.0,1,Forward,Inactive,N
1628387,1998-10-16,UCLA,USA,6-10,250.0,3,Center,Inactive,N
76050,1967-02-08,Alabama,USA,6-7,225.0,3,Forward,Inactive,N
1512,1975-01-01,South East Melbourne,Australia,7-0,249.0,2,Center,Inactive,N
203507,1994-12-06,Filathlitikos,Greece,7-0,243.0,10,Forward,Active,N
1628961,1997-11-20,University of Dayton,Greece,6-10,200.0,4,Forward,Inactive,N
203648,1992-07-18,Panathinaikos,Greece,6-7,219.0,5,Forward,Active,N
2546,1984-05-29,Syracuse,USA,6-7,238.0,20,Forward,Inactive,N
1630175,2000-05-15,North Carolina,USA,6-3,185.0,3,Guard,Active,N
21,1967-11-15,UNLV,USA,6-1,180.0,11,Guard,Inactive,N
201202,1982-08-09,UNLV,Canada,6-9,245.0,11,Center,Inactive,N
203544,1982-07-29,Olympiacos,Macedonia,6-11,260.0,2,Forward-Center,Inactive,N
1628384,1997-07-17,Indiana,United Kingdom,6-7,232.0,6,Forward,Active,N
2737,1980-08-12,Brigham Young,Brazil,6-11,270.0,4,Center,Inactive,N
76053,1936-02-17,Iowa State,USA,6-4,210.0,1,Forward,Inactive,N
76054,1948-09-02,Texas-El Paso,USA,6-1,150.0,13,Guard,Inactive,N
2425,1980-03-29,Illinois,Scotland,6-11,250.0,3,Forward,Inactive,N
1627853,1994-03-26,Villanova,USA,6-3,195.0,6,Guard,Inactive,N
76055,1948-09-19,Cincinnati,USA,6-9,215.0,4,Center,Inactive,N
2240,1982-01-06,Arizona,USA,6-4,215.0,12,Guard,Inactive,N
2772,1985-06-30,UCLA,USA,6-8,215.0,18,Forward,Inactive,N
76056,1928-04-09,Villanova,USA,6-4,190.0,10,Forward,Inactive,N
76057,1965-07-20,Niagara,USA,6-9,230.0,1,Forward,Inactive,N
769,1967-09-09,Iowa,USA,6-2,185.0,11,Guard,Inactive,N
2220,1980-06-16,Pepperdine,USA,6-5,185.0,4,Guard,Inactive,N
353,1968-06-22,Fayetteville State,USA,6-1,180.0,15,Guard,Inactive,N
200756,1984-11-23,Connecticut,USA,6-11,235.0,6,Forward-Center,Inactive,N
76059,1955-10-05,Duke,USA,6-3,175.0,2,Guard,Inactive,N
76062,1933-12-30,Penn State,USA,6-5,220.0,1,Forward,Inactive,N
76064,1947-11-03,Notre Dame,USA,6-5,205.0,1,Forward,Inactive,N
2306,1979-07-30,Florida International,Puerto Rico,6-2,200.0,10,Guard,Inactive,N
201589,1988-03-25,Kansas,USA,6-9,235.0,10,Forward,Inactive,N
76065,1947-08-15,Tulane,USA,6-4,185.0,1,Guard,Inactive,N
1628503,1993-01-12,Pittsburgh,USA,6-7,213.0,2,Guard,Inactive,N
201600,1986-07-04,Fenerbahce,Turkey,7-0,255.0,9,Center,Inactive,N
355,1966-02-28,Memphis,USA,6-6,210.0,9,Guard,Inactive,N
76068,1928-02-15,Alliance,USA,6-2,185.0,1,Guard,Inactive,N
76069,1931-09-21,Indiana State,USA,6-2,190.0,2,Guard,Inactive,N
1088,1974-08-14,South Florida,USA,5-11,185.0,12,Guard,Inactive,N
76071,1916-05-08,Michigan State,USA,5-10,137.0,1,Guard,Inactive,N
278,1968-08-01,UNLV,USA,6-8,213.0,16,Forward-Guard,Inactive,N
201571,1987-11-10,Texas-Austin,USA,5-11,183.0,14,Guard,Active,N
200788,1984-02-27,Illinois,USA,6-10,235.0,2,Forward,Inactive,N
1134,1969-08-18,Arizona State,USA,6-10,288.0,9,Center,Inactive,N
76073,1944-08-31,Boston College,USA,6-0,170.0,1,Guard,Inactive,N
138,1969-10-18,Seton Hall,USA,6-9,240.0,6,Center,Inactive,N
76076,1952-07-22,Pepperdine,USA,6-2,170.0,2,Guard,Inactive,N
1895,1979-08-08,Duke,USA,6-2,180.0,4,Guard,Inactive,N
76078,1948-02-22,Santa Clara,USA,6-10,235.0,12,Center,Inactive,N
1630555,2000-03-05,Gonzaga,France,6-4,180.0,2,Guard,Inactive,N
202970,1985-04-01,Baloncesto Fuenlabrada,Mexico,Unknown,0.0,3,Unknown,Inactive,N
201965,1987-04-29,Arizona State,USA,6-9,250.0,7,Forward-Center,Inactive,N
1629028,1998-07-23,Arizona,Bahamas,7-0,250.0,5,Center,Active,N
101235,1983-12-16,Kentucky,United Kingdom,6-5,215.0,5,Guard,Inactive,N
1628962,1999-09-17,Kansas,Nigeria,6-11,270.0,3,Center-Forward,Active,N
203569,1990-02-14,Iowa State,USA,6-5,225.0,3,Guard,Inactive,N
202337,1989-06-20,Nevada-Reno,USA,6-9,225.0,9,Forward,Inactive,N
76079,1968-11-23,Tennessee Tech,USA,7-0,240.0,2,Center,Inactive,N
76080,1924-07-10,Fordham,USA,6-2,180.0,1,Forward,Inactive,N
1628407,1995-08-30,Florida State,USA,6-6,221.0,5,Guard-Forward,Inactive,N
76081,1927-12-09,Eastern Kentucky,USA,6-4,205.0,5,Forward,Inactive,N
2053,1980-07-02,Benston Zagreb,Croatia,7-1,290.0,4,Center,Inactive,N
76082,1960-04-23,Boston College,USA,6-0,185.0,11,Guard,Inactive,N
1628963,1999-03-14,Duke,USA,6-10,235.0,5,Forward,Active,N
76084,1958-04-23,Tuskegee,USA,7-0,210.0,1,Center,Inactive,N
76083,1951-02-18,Texas-El Paso,USA,6-5,185.0,5,Guard,Inactive,N
76085,1957-05-21,Rutgers,USA,6-9,220.0,9,Forward,Inactive,N
1847,1961-04-07,North Carolina State,USA,6-11,247.0,12,Forward,Inactive,N
1753,1975-11-19,UCLA,USA,6-6,213.0,3,Guard,Inactive,N
1858,1969-11-11,Ohio State,USA,6-1,175.0,1,Guard,Inactive,N
2486,1979-07-28,Oklahoma State,USA,6-2,200.0,2,Guard,Inactive,N
76089,1923-02-17,Victoria,Canada,6-0,180.0,1,Guard,Inactive,N
1627758,1993-03-30,Wichita State,USA,6-4,220.0,3,Guard,Inactive,N
452,1971-11-23,Hartford,USA,6-11,240.0,13,Forward,Inactive,N
1627735,1996-03-29,Vanderbilt,USA,6-4,200.0,3,Guard,Inactive,N
1631116,2002-11-18,Wisconsin-Milwaukee,USA,6-9,220.0,1,Forward,Active,N
200764,1984-07-14,South Carolina,USA,6-8,225.0,7,Forward,Inactive,N
76090,1968-04-16,North Carolina-Charlotte,USA,6-8,210.0,1,Forward,Inactive,N
1630163,2001-08-22,Illawarra,USA,6-7,180.0,3,Guard,Active,N
1629071,1998-11-24,Unknown,USA,Unknown,0.0,0,Unknown,Inactive,N
1628366,1997-10-27,UCLA,USA,6-6,190.0,5,Guard,Active,N
76091,1955-01-29,Oregon,USA,6-7,215.0,11,Forward,Inactive,N
76092,1921-06-21,Penn State,USA,6-4,195.0,1,Forward,Inactive,N
1631094,2002-11-12,Duke,USA,6-10,250.0,1,Forward,Active,N
1630217,1998-06-25,TCU,USA,6-5,215.0,3,Guard,Active,N
76093,1959-05-15,Duke,USA,6-7,215.0,6,Forward,Inactive,N
2556,1981-11-19,UNLV,USA,6-2,205.0,9,Guard,Inactive,N
76094,1960-04-01,St. Augustine's,USA,6-9,235.0,5,Forward,Inactive,N
76095,1951-12-03,St. Joseph's (PA),USA,6-9,200.0,9,Forward,Inactive,N
1630625,1999-11-07,Nebraska,Canada,6-7,204.0,2,Forward,Active,N
1627760,1994-07-25,North Carolina State,USA,6-1,173.0,1,Guard,Inactive,N
76096,1927-06-27,California State-Los Angeles,USA,6-6,210.0,1,Forward,Inactive,N
76097,1968-04-05,Illinois,USA,6-5,190.0,3,Guard,Inactive,N
200826,1984-06-26,Northeastern,Puerto Rico,5-10,180.0,15,Guard,Inactive,N
76098,1921-01-15,Kentucky,USA,6-2,185.0,3,Guard,Inactive,N
76099,1955-03-11,Hawaii,USA,6-11,225.0,2,Center,Inactive,N
787,1963-02-20,Auburn,USA,6-6,252.0,16,Forward,Inactive,N
2057,1978-02-21,St. John's (NY),USA,6-1,185.0,3,Guard,Inactive,N
76102,1923-03-31,UCLA,USA,6-6,200.0,4,Forward,Inactive,N
1631230,2003-05-26,Overtime Elite,USA,6-9,215.0,1,Forward,Active,N
203084,1992-05-30,North Carolina,USA,6-8,225.0,11,Forward,Active,N
76105,1941-04-13,Texas-El Paso,USA,6-8,210.0,7,Center,Inactive,N
76104,1952-07-27,Providence,USA,6-9,210.0,4,Forward,Inactive,N
2440,1980-03-09,UCLA,USA,6-7,226.0,15,Forward,Inactive,N
1630567,2001-08-01,Florida State,USA,6-8,225.0,2,Forward,Active,N
76106,1944-07-07,Oregon,USA,6-4,170.0,11,Guard,Inactive,N
76108,1938-03-20,Tennessee State,USA,6-1,180.0,7,Guard,Inactive,N
76109,1953-07-15,Washington State,USA,6-4,205.0,1,Guard,Inactive,N
76110,1924-05-11,Notre Dame,USA,6-4,190.0,5,Forward,Inactive,N
76111,1918-08-18,Penn State,USA,6-3,205.0,1,Forward,Inactive,N
76112,1950-10-19,Duquesne,USA,6-3,180.0,1,Guard,Inactive,N
76114,1929-08-27,Kansas State,USA,Unknown,0.0,2,Unknown,Inactive,N
1629628,2000-06-14,Duke,Canada,6-6,214.0,4,Forward-Guard,Active,N
2853,1981-08-14,Memphis,USA,7-0,250.0,9,Forward-Center,Inactive,N
344,1967-04-13,Boston College,USA,5-11,165.0,15,Guard,Inactive,N
699,1971-12-31,Oregon State,USA,6-7,210.0,15,Guard,Inactive,N
1003,1973-02-17,Georgia Tech,USA,6-5,191.0,3,Guard,Inactive,N
468,1969-07-25,Georgia Tech,USA,6-5,210.0,14,Guard,Inactive,N
600013,1944-03-28,Miami,USA,6-7,205.0,10,Forward,Inactive,N
76117,1925-10-08,North Carolina State,USA,6-6,195.0,2,Forward,Inactive,N
76118,1948-09-29,Oregon State,USA,7-0,230.0,1,Center,Inactive,N
203115,1991-01-06,Memphis,USA,6-5,181.0,11,Guard,Active,N
101188,1983-02-15,North Carolina-Charlotte,USA,6-5,215.0,2,Guard,Inactive,N
101138,1985-04-30,Louisiana State,USA,6-8,250.0,13,Forward,Inactive,N
1628238,1995-08-29,Detroit Mercy,USA,6-8,200.0,2,Forward,Inactive,N
76120,1951-04-01,Georgia,USA,6-8,225.0,4,Forward,Inactive,N
1629646,2000-10-28,Western Kentucky,Nigeria,6-9,230.0,2,Center-Forward,Active,N
1766,1976-05-29,Michigan,USA,6-10,230.0,5,Forward,Inactive,N
2370,1975-11-20,Beijing,China,6-11,290.0,4,Center,Inactive,N
76121,1956-05-31,Kentucky State,USA,6-4,210.0,4,Guard,Inactive,N
1499,1976-02-11,Texas Tech,USA,6-11,240.0,15,Center,Inactive,N
2203,1978-09-09,Duke,USA,6-8,220.0,13,Forward,Inactive,N
76124,1956-03-26,Notre Dame,USA,6-10,240.0,2,Center,Inactive,N
201587,1988-12-14,Le Mans,France,6-8,230.0,15,Guard-Forward,Active,N
76125,1946-06-17,Temple,USA,6-5,200.0,2,Forward,Inactive,N
76126,1918-10-07,Ohio,USA,5-10,170.0,1,Guard,Inactive,N
2437,1979-01-27,Maryland,USA,6-8,260.0,4,Forward,Inactive,N
76127,1934-09-16,Seattle,USA,6-5,225.0,14,Forward,Inactive,N
203382,1986-12-09,Washington State,Australia,6-10,260.0,10,Center-Forward,Inactive,N
76128,1965-03-15,Tofas S.K.,Russia,6-2,168.0,1,Guard,Inactive,N
203145,1989-07-01,Old Dominion,USA,6-4,195.0,11,Guard-Forward,Inactive,N
1629647,2000-06-12,Princeton HS (OH),USA,6-9,216.0,4,Forward,Active,N
76129,1929-01-25,West Virginia,USA,6-3,200.0,1,Forward,Inactive,N
203078,1993-06-28,Florida,USA,6-4,207.0,11,Guard,Active,N
76130,1947-05-04,Louisville,USA,6-3,185.0,9,Guard,Inactive,N
76131,1927-12-02,Kentucky,USA,5-10,175.0,2,Guard,Inactive,N
2602,1980-05-17,North Dakota,USA,6-9,237.0,2,Forward,Inactive,N
1627736,1996-11-26,Florida State,USA,6-4,187.0,7,Guard,Active,N
76133,1939-10-25,Prairie View A&M,USA,6-9,225.0,8,Center,Inactive,N
201958,1988-02-24,Cholet,France,6-2,185.0,5,Guard,Inactive,N
1630699,2000-10-12,NBA G League Ignite,USA,6-7,199.0,1,Forward,Active,N
76134,1945-01-25,Denver,USA,6-9,225.0,1,Center,Inactive,N
1133,1971-05-27,Arkansas,USA,6-3,200.0,3,Guard,Inactive,N
76136,1931-12-11,Pennsylvania,USA,6-4,190.0,7,Guard,Inactive,N
76137,1917-02-24,Duquesne,USA,6-1,185.0,1,Guard,Inactive,N
76140,1951-01-14,Minnesota,USA,6-9,185.0,7,Forward,Inactive,N
76141,1929-02-03,Bradley,USA,6-7,210.0,1,Center,Inactive,N
76142,1951-06-02,Drake,USA,6-5,185.0,3,Forward,Inactive,N
1628395,1995-01-07,Oregon,USA,6-7,216.0,5,Forward,Inactive,N
1952,1976-09-19,Florida International,US Virgin Islands,6-5,210.0,13,Guard,Inactive,N
2559,1980-11-10,Boston College,USA,6-1,180.0,2,Guard,Inactive,N
76143,1932-09-13,North Carolina State,USA,6-0,180.0,2,Guard,Inactive,N
76144,1939-07-24,Indiana,USA,6-10,225.0,14,Center,Inactive,N
1627761,1994-07-04,St. Joseph's (PA),USA,6-5,210.0,6,Guard-Forward,Inactive,N
76145,1930-11-18,Illinois,USA,6-3,185.0,2,Forward,Inactive,N
76146,1950-07-23,Jacksonville,USA,6-4,185.0,2,Guard,Inactive,N
1627733,1997-11-17,Maccabi Tel Aviv,Croatia,7-0,249.0,4,Forward,Inactive,N
1886,1981-01-30,Picayune HS (MS),USA,7-0,230.0,9,Forward,Inactive,N
203968,1991-08-01,Towson,USA,Unknown,0.0,1,Unknown,Inactive,N
104,1964-11-22,Creighton,USA,7-0,250.0,15,Center,Inactive,N
1736,1978-02-24,Oregon State,USA,6-6,200.0,5,Guard,Inactive,N
203461,1993-03-14,UNLV,Canada,6-8,235.0,5,Forward,Inactive,N
1120,1970-02-13,Notre Dame,USA,6-0,170.0,3,Guard,Inactive,N
712,1973-08-01,Arizona State,USA,6-9,235.0,5,Center-Forward,Inactive,N
76148,1969-06-01,Wisconsin-Green Bay,USA,6-0,175.0,3,Guard,Inactive,N
76152,1965-02-09,Kentucky,USA,6-7,210.0,3,Guard,Inactive,N
128,1968-05-09,Alabama,USA,6-8,220.0,7,Forward,Inactive,N
202728,1988-08-13,Oakland,USA,6-11,230.0,2,Forward-Center,Inactive,N
76154,1954-12-27,Indiana,USA,6-11,235.0,11,Center,Inactive,N
1627791,1995-03-29,Providence,Ghana,6-9,235.0,1,Forward,Inactive,N
76155,1926-11-22,Marquette,USA,5-11,175.0,1,Guard,Inactive,N
76156,1932-07-16,Utah,USA,6-8,210.0,1,Center,Inactive,N
1631262,2000-01-21,UCLA,USA,Unknown,0.0,0,Unknown,Inactive,N
76157,1964-10-06,San Jose State,USA,6-8,205.0,1,Forward,Inactive,N
76158,1964-05-14,St. John's (NY),USA,6-8,215.0,3,Forward,Inactive,N
1629541,1989-09-09,Olimpia Milano,Latvia,6-4,200.0,2,Guard,Inactive,N
202722,1992-11-12,Baskonia,Latvia,6-10,225.0,7,Forward,Active,N
696,1972-07-12,Georgia Tech,USA,5-11,182.0,11,Guard,Inactive,N
201976,1988-07-12,Arkansas,USA,6-2,180.0,11,Guard,Active,N
1630180,1999-04-09,Villanova,USA,6-7,215.0,3,Forward,Active,N
1630189,1998-02-10,Colorado,USA,6-7,215.0,2,Forward,Inactive,N
204021,1992-12-02,New Mexico State,Canada,7-5,360.0,1,Center,Inactive,N
76162,1949-11-24,UCLA,USA,6-1,185.0,9,Guard,Inactive,N
1710,1978-05-13,Arizona,USA,6-2,195.0,15,Guard,Inactive,N
76163,1945-08-12,North Carolina State,USA,6-1,175.0,1,Guard,Inactive,N
2740,1986-04-02,BK Skonto,Latvia,7-0,250.0,10,Center,Inactive,N
76164,1933-01-01,Valparaiso,USA,6-7,240.0,1,Center,Inactive,N
76165,1953-12-26,Pennsylvania,USA,6-7,215.0,4,Forward,Inactive,N
1497,1976-09-25,Colorado,USA,6-3,210.0,17,Guard,Inactive,N
1631234,2000-07-14,Michigan State,USA,Unknown,0.0,0,Unknown,Inactive,N
76167,1961-03-26,North Carolina A&T,USA,6-8,235.0,1,Forward,Inactive,N
203920,1992-09-28,UNLV,Canada,6-8,233.0,6,Center,Active,N
1628444,1994-07-03,California,USA,6-6,198.0,2,Guard,Inactive,N
76168,1935-02-02,Kentucky,USA,6-6,210.0,1,Forward,Inactive,N
1449,1956-12-07,Indiana State,USA,6-9,220.0,13,Forward,Inactive,N
76170,1955-12-09,Houston,USA,6-3,190.0,12,Guard,Inactive,N
76171,1922-06-04,Washington State,USA,6-3,195.0,1,Forward,Inactive,N
1629048,1999-07-20,Mega Basket,Georgia,6-11,250.0,4,Center-Forward,Active,N
202687,1992-08-28,Baloncesto Fuenlabrada,DRC,6-8,255.0,12,Center,Active,N
202357,1988-05-09,                                   ,Serbia,6-9,234.0,8,Forward,Inactive,N
76172,1962-03-26,Indiana,USA,7-1,252.0,5,Center,Inactive,N
76173,1921-06-15,Kansas,USA,6-4,200.0,3,Forward,Inactive,N
76174,1957-11-12,St. Joseph's (PA),USA,6-5,185.0,1,Guard,Inactive,N
204028,1991-11-22,Kansas,USA,6-9,250.0,5,Forward-Center,Inactive,N
76175,1941-07-09,South Dakota State,USA,6-10,220.0,1,Center,Inactive,N
76180,1970-06-27,Monmouth,USA,6-6,250.0,1,Forward,Inactive,N
76177,1963-03-27,Wisconsin,USA,6-6,210.0,1,Forward,Inactive,N
1806,1968-02-25,Dartmouth,USA,6-0,190.0,1,Guard,Inactive,N
76179,1965-02-15,Temple,USA,6-4,170.0,1,Guard,Inactive,N
201971,1989-04-22,Pittsburgh,USA,6-7,270.0,7,Center-Forward,Inactive,N
2581,1980-02-26,Maryland,USA,6-3,172.0,14,Guard,Inactive,N
202392,1988-10-22,Vermont,USA,6-5,225.0,2,Forward,Inactive,N
1628469,1996-10-04,Louisiana State,USA,6-4,192.0,3,Guard,Inactive,N
200807,1983-09-08,Iowa State,USA,6-0,205.0,2,Guard,Inactive,N
76182,1939-11-12,Holy Cross,USA,6-1,175.0,1,Guard,Inactive,N
76183,1966-09-09,Texas-Austin,USA,6-4,190.0,3,Guard,Inactive,N
76184,1966-04-21,Louisiana State,USA,6-7,215.0,1,Forward,Inactive,N
101154,1986-08-22,South Kent HS (CT),USA,6-11,260.0,9,Center-Forward,Inactive,N
302,1967-03-20,Oklahoma,USA,Unknown,0.0,13,Guard,Inactive,N
202339,1989-12-09,Kentucky,USA,6-1,214.0,13,Guard,Inactive,N
1629833,1995-11-24,Montana State,USA,6-4,200.0,3,Guard,Inactive,N
76186,1926-06-25,Arizona,USA,6-2,160.0,1,Guard,Inactive,N
76187,1944-04-16,Southern California,USA,6-10,207.0,10,Forward,Inactive,N
76188,1915-01-14,Temple,USA,6-6,190.0,2,Center,Inactive,N
1628417,1993-09-16,Clemson,USA,6-8,220.0,2,Forward,Inactive,N
916,1969-01-04,Cincinnati,USA,6-10,242.0,12,Forward-Center,Inactive,N
1548,1975-11-30,Pittsburgh,USA,7-0,250.0,10,Center-Forward,Inactive,N
203505,1992-07-17,Marquette,USA,6-5,200.0,3,Guard,Inactive,N
1629129,1994-11-04,Xavier,USA,6-6,198.0,2,Guard-Forward,Inactive,N
76189,1958-09-23,Oregon State,USA,6-4,185.0,1,Guard,Inactive,N
76190,1924-02-25,Temple,USA,6-0,170.0,4,Guard,Inactive,N
2800,1979-10-22,Cincinnati,USA,6-4,190.0,2,Guard,Inactive,N
76191,1933-07-08,Dayton,USA,6-4,200.0,7,Guard,Inactive,N
1631205,1999-11-11,Syracuse,USA,6-6,205.0,1,Forward,Active,N
2586,1980-05-12,Kentucky,USA,6-5,215.0,11,Guard-Forward,Inactive,N
202711,1989-04-18,Fenerbahce,Croatia,6-7,226.0,9,Forward,Active,N
177,1965-01-09,Wake Forest,USA,Unknown,0.0,14,Guard,Inactive,N
101106,1984-11-28,Utah,Australia,7-0,260.0,15,Center,Inactive,N
